canny,fft,result
2672.57859197,-1.46393725803,0
4045.4762977,-5.57820932049,0
6397.95376564,-4.66972013401,0
3666.59875886,-9.06896931242,0
4325.74746144,-6.42231913787,0
4383.0023676,-15.1298947741,0
4278.97095387,-14.2962680691,0
3313.18499754,-8.9238777919,0
10644.0599879,22.5031008246,0
759.431960503,-0.6359218685,0
3760.01730447,10.5790421034,0
6280.74889206,-1.62632261464,0
3822.06275835,-11.1412696901,0
2433.06612274,-10.5223615273,0
6700.76666095,17.0053576671,0
7261.79427215,-2.23863329613,0
4808.17683146,15.6776160706,0
11692.6026337,15.0146021204,0
5234.36924145,-2.08200430958,0
3320.28928195,-5.8249778127,0
6836.49531042,-4.38871948375,0
7756.39179011,19.7623826786,0
2473.21314291,81.2205520014,0
2876.37061224,1.74668965932,0
2773.30795599,-1.53230338282,0
1568.69581009,0.529442182768,0
5440.11400742,-10.3375771559,0
2181.66322314,85.6780566737,0
1757.95880713,0.842347296803,0
2098.17618686,-9.22094307929,0
1308.0210364,0.905109144401,0
4680.98666097,-4.74412015038,0
310.765063079,-6.31462579552,0
4006.04843391,-5.97823157487,0
2844.79658705,-6.81553168428,0
3424.34283587,2.61574291121,0
5156.09653467,-3.53199277767,0
4261.28632361,-9.69480282755,0
9608.33469984,23.7917276158,0
3902.32833822,82.1617584144,0
2362.10052825,-0.91610042826,0
7434.79372903,-0.747641465476,0
1096.52413376,-4.90154601537,0
676.782133475,-6.46005275439,0
2784.51572113,0.851305383958,0
2821.41500415,-1.22523899639,0
2942.70368335,-8.3195101382,0
1463.69763684,-1.42291062737,0
4767.88455771,-5.12312786646,0
2915.40511927,86.1239003099,0
2520.87149796,-0.95547242172,0
3086.88619186,-0.0654021375213,0
4828.03850871,6.7306639136,0
9417.57257888,22.7552264042,0
3205.54527344,-5.86783114118,0
1534.07505067,-4.91148742589,0
3974.30067836,-8.52729426993,0
2804.30988948,0.94606785045,0
5794.49085156,-1.81666941061,0
2379.90710923,2.49062655326,0
